object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file,source_file
0,2,House,[ 949.4915   910.11615 1095.2368  1116.0204 ],240.0661288,2584.047803,0.927492559,"11055 Lakeview Dr, Town of Chippewa.png","11055 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,[1509.2777 1649.0116 1704.8597 1816.526 ],341.4590603,3675.431179,0.950304508,"11109 Lakeview Dr, Town of Chippewa.png","11109 Lakeview Dr, Town of Chippewa.png_objects.csv"
1,1,Garage,[1059.7784   448.28693 1238.1261   577.3926 ],198.2411253,2133.847648,0.929554045,"11109 Lakeview Dr, Town of Chippewa.png","11109 Lakeview Dr, Town of Chippewa.png_objects.csv"
2,1,Garage,[1268.8804 1775.6223 1385.8347 1930.7235],187.960962,2023.192999,0.899605393,"11109 Lakeview Dr, Town of Chippewa.png","11109 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,[129.47224 129.31404 275.15088 289.89853],289.655758,3117.825614,0.715408266,"11223 Old Grade Rd, Town of Chippewa.png","11223 Old Grade Rd, Town of Chippewa.png_objects.csv"
1,1,Garage,[ 960.355   906.1725 1072.5844 1057.5557],128.929682,1387.786204,0.494156569,"11223 Old Grade Rd, Town of Chippewa.png","11223 Old Grade Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,[ 956.66693  962.8164  1112.8416  1069.7904 ],230.3896945,2479.891633,0.916482747,"11343 Ernst Ln, Town of Chippewa.png","11343 Ernst Ln, Town of Chippewa.png_objects.csv"
1,2,House,[1027.2621 1101.0975 1136.3904 1214.6569],173.9242628,1872.103372,0.907295763,"11343 Ernst Ln, Town of Chippewa.png","11343 Ernst Ln, Town of Chippewa.png_objects.csv"
2,1,Garage,[1027.0073  809.0985 1332.6929  925.1953],478.1030573,5146.253498,0.880572617,"11343 Ernst Ln, Town of Chippewa.png","11343 Ernst Ln, Town of Chippewa.png_objects.csv"
0,2,House,[1040.1025 1412.7205 1173.2756 1542.1261],167.098771,1798.634461,0.965345681,"11537 Butternut Lake Rd, Town of Chippewa.png","11537 Butternut Lake Rd, Town of Chippewa.png_objects.csv"
1,1,Garage,[1919.4061   277.3777  2026.4303   393.62534],124.5861873,1341.033261,0.934391916,"11537 Butternut Lake Rd, Town of Chippewa.png","11537 Butternut Lake Rd, Town of Chippewa.png_objects.csv"
2,2,House,[  18.828003 1828.374     171.31857  1944.8561  ],147.4775785,1587.433907,0.723460674,"11537 Butternut Lake Rd, Town of Chippewa.png","11537 Butternut Lake Rd, Town of Chippewa.png_objects.csv"
3,2,House,[  21.447397 1430.8788     95.47546  1538.8026  ],105.451332,1135.067593,0.550846934,"11537 Butternut Lake Rd, Town of Chippewa.png","11537 Butternut Lake Rd, Town of Chippewa.png_objects.csv"
4,2,House,[ 137.14952 1597.7982   199.37267 1684.6276 ],78.4512295,844.4411892,0.492265224,"11537 Butternut Lake Rd, Town of Chippewa.png","11537 Butternut Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,[ 938.6945  917.0084 1105.1799 1097.8295],310.115463,3338.051832,0.996643662,"11704 Liberty Rd, Town of Chippewa.png","11704 Liberty Rd, Town of Chippewa.png_objects.csv"
1,1,Garage,[ 887.1972   438.65323 1079.3744   629.37335],548.9405933,5908.741652,0.993197918,"11704 Liberty Rd, Town of Chippewa.png","11704 Liberty Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,[1747.2528 1121.6154 1886.6708 1247.4792],166.0590155,1787.442637,0.996968567,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
1,1,Garage,[1784.3538   877.48694 1909.2971   979.6865 ],145.8844048,1570.285144,0.984515786,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
2,1,Garage,[1601.5902   884.96893 1718.1884   986.96796],116.6035483,1255.108933,0.982772171,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
3,1,Garage,[1058.4683   955.98663 1181.5175  1131.1088 ],233.4083395,2512.384026,0.822796226,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
4,1,Garage,[1389.1815 1477.329  1472.2222 1563.0511],71.92760225,774.2215179,0.724033773,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
