object_id,class_id,class_name,bbox,area_m2,area_ft2,Ground Truth,score,file,source_file
0,2,House,"[598.60986328125, 570.6902465820312, 681.9293212890625, 691.5250854492188]",187.8131563,2021.602033,1776,0.990061045,"11055 Lakeview Dr, Town of Chippewa.png","11055 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,"[942.0941162109375, 1033.7242431640625, 1063.3314208984375, 1128.4722900390625]",246.4998377,2653.299603,,0.907595575,"11109 Lakeview Dr, Town of Chippewa.png","11109 Lakeview Dr, Town of Chippewa.png_objects.csv"
2,2,House,"[794.555419921875, 1113.9664306640625, 869.1163330078125, 1213.8167724609375]",151.5678202,1631.46086,,0.461473703,"11109 Lakeview Dr, Town of Chippewa.png","11109 Lakeview Dr, Town of Chippewa.png_objects.csv"
3,2,House,"[789.385498046875, 1197.0635986328125, 895.815673828125, 1279.0325927734375]",159.7318948,1719.338142,,0.406711906,"11109 Lakeview Dr, Town of Chippewa.png","11109 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,"[605.6605834960938, 574.1806640625, 671.6141967773438, 648.0087890625]",91.02746005,979.8104772,864,0.993955672,"11223 Old Grade Rd, Town of Chippewa.png","11223 Old Grade Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[643.6782836914062, 675.0802612304688, 709.6351928710938, 754.4359741210938]",143.8770252,1548.677912,,0.96108067,"11343 Ernst Ln, Town of Chippewa.png","11343 Ernst Ln, Town of Chippewa.png_objects.csv"
1,1,Garage,"[599.1908569335938, 604.11669921875, 691.1157836914062, 667.47314453125]",187.3793166,2016.932226,1656,0.684671164,"11343 Ernst Ln, Town of Chippewa.png","11343 Ernst Ln, Town of Chippewa.png_objects.csv"
0,2,House,"[1202.41943359375, 174.36351013183594, 1278.213623046875, 241.35096740722656]",131.6506333,1417.074252,,0.97995007,"11537 Butternut Lake Rd, Town of Chippewa.png","11537 Butternut Lake Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[2.5607357025146484, 897.7208862304688, 52.47679901123047, 962.7804565429688]",100.0592141,1077.027375,,0.492707163,"11537 Butternut Lake Rd, Town of Chippewa.png","11537 Butternut Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[468.335693359375, 603.2105102539062, 535.2464599609375, 676.7448120117188]",97.85057556,1053.25381,640,0.976093829,"11621 County Hwy GG, Town of Chippewa.png","11621 County Hwy GG, Town of Chippewa.png_objects.csv"
