object_id,class_id,class_name,bbox,area_m2,area_ft2,Ground Truth,Percentage difference,score,file,source_file
0,2,House,"[598.60986328125, 570.6902465820312, 681.9293212890625, 691.5250854492188]",187.8131563,2021.602033,1776,13.8289433,0.990061045,"11055 Lakeview Dr, Town of Chippewa.png","11055 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,"[605.6605834960938, 574.1806640625, 671.6141967773438, 648.0087890625]",91.02746005,979.8104772,864,13.40399042,0.993955672,"11223 Old Grade Rd, Town of Chippewa.png","11223 Old Grade Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[468.335693359375, 603.2105102539062, 535.2464599609375, 676.7448120117188]",97.85057556,1053.25381,640,64.57090781,0.976093829,"11621 County Hwy GG, Town of Chippewa.png","11621 County Hwy GG, Town of Chippewa.png_objects.csv"
0,2,House,"[589.1264038085938, 574.9667358398438, 687.6224975585938, 683.1552124023438]",239.0851225,2573.488351,"2,276",13.07066569,0.989903569,"11704 Liberty Rd, Town of Chippewa.png","11704 Liberty Rd, Town of Chippewa.png_objects.csv"
6,2,House,"[651.9835205078125, 567.4105834960938, 734.2344970703125, 709.4050903320312]",298.6789233,3214.950062,"2,876",11.78546808,0.400089264,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,"[672.2282104492188, 671.462646484375, 739.5458374023438, 767.6214599609375]",166.8705301,1796.177699,1500,19.74517993,0.998840392,"11859 Forest Rd 169, Town of Chippewa.png","11859 Forest Rd 169, Town of Chippewa.png_objects.csv"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,1,Garage,"[491.5521240234375, 512.8397827148438, 543.420654296875, 563.3958129882812]",74.34435104,800.2351601,672,19.08261311,0.931970417,"13647 Mail Route Rd, Town of Chippewa.png","13647 Mail Route Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[558.222900390625, 668.1861572265625, 600.2333984375, 728.294921875]",91.93457945,989.5746198,864,14.53409951,0.996022403,"14109 Wagner Vogt Rd, Town of Chippewa.png","14109 Wagner Vogt Rd, Town of Chippewa.png_objects.csv"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0,2,House,"[673.4407348632812, 468.55780029296875, 806.9977416992188, 594.2785034179688]",243.1474399,2617.214728,2340,11.84678325,0.738874733,"15910 Wagner Vogt Rd, Town of Chippewa.png","15910 Wagner Vogt Rd, Town of Chippewa.png_objects.csv"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0,2,House,"[572.787841796875, 572.0706176757812, 726.296142578125, 680.5795288085938]",290.1993289,3123.676556,2824,10.61177606,0.871049225,"80322 Graf Rd, Town of Chippewa.png","80322 Graf Rd, Town of Chippewa.png_objects.csv"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Average = 7.6% With High values ,,,
,,,,,,,Average = 5.2% Without high values,,,
