object_id_x,class_id_x,class_name_x,bbox_x,area_m2_x,area_ft2_x,Ground Truth,Percentage difference,,object_id_y,class_id_y,class_name_y,bbox_y,,,,,file_y,source_file_y
0,2,House,"[598.60986328125, 570.6902465820312, 681.9293212890625, 691.5250854492188]",243.3145784,2619.01379,1776,47.46699268,,0,2,House,"[598.60986328125, 570.6902465820312, 681.9293212890625, 691.5250854492188]",,,,,"11055 Lakeview Dr, Town of Chippewa.png","11055 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,"[605.6605834960938, 574.1806640625, 671.6141967773438, 648.0087890625]",117.9273513,1269.358217,864,46.9164603,,0,2,House,"[605.6605834960938, 574.1806640625, 671.6141967773438, 648.0087890625]",,,,,"11223 Old Grade Rd, Town of Chippewa.png","11223 Old Grade Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[468.335693359375, 603.2105102539062, 535.2464599609375, 676.7448120117188]",126.7667932,1364.505085,640,113.2039195,,0,2,House,"[468.335693359375, 603.2105102539062, 535.2464599609375, 676.7448120117188]",,,,,"11621 County Hwy GG, Town of Chippewa.png","11621 County Hwy GG, Town of Chippewa.png_objects.csv"
0,2,House,"[589.1264038085938, 574.9667358398438, 687.6224975585938, 683.1552124023438]",309.7381298,3333.990256,"2,276",46.48463339,,0,2,House,"[589.1264038085938, 574.9667358398438, 687.6224975585938, 683.1552124023438]",,,,,"11704 Liberty Rd, Town of Chippewa.png","11704 Liberty Rd, Town of Chippewa.png_objects.csv"
6,2,House,"[651.9835205078125, 567.4105834960938, 734.2344970703125, 709.4050903320312]",386.9427346,4165.012901,"2,876",44.8196419,,6,2,House,"[651.9835205078125, 567.4105834960938, 734.2344970703125, 709.4050903320312]",,,,,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,"[672.2282104492188, 671.462646484375, 739.5458374023438, 767.6214599609375]",216.1831124,2326.973403,1500,55.1315602,,0,2,House,"[672.2282104492188, 671.462646484375, 739.5458374023438, 767.6214599609375]",,,,,"11859 Forest Rd 169, Town of Chippewa.png","11859 Forest Rd 169, Town of Chippewa.png_objects.csv"
0,2,House,"[611.2844848632812, 600.8558959960938, 661.8242797851562, 663.2595825195312]",143.8325364,1548.199038,"1,248",24.0544101,,0,2,House,"[611.2844848632812, 600.8558959960938, 661.8242797851562, 663.2595825195312]",,,,,"12049 Stangle Rd, Town of Chippewa.png","12049 Stangle Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[618.8816528320312, 554.2716064453125, 686.1716918945312, 657.8267822265625]",308.0519935,3315.840853,"2,352",40.9796281,,0,2,House,"[618.8816528320312, 554.2716064453125, 686.1716918945312, 657.8267822265625]",,,,,"12049 State Hwy 13, Town of Chippewa.png","12049 State Hwy 13, Town of Chippewa.png_objects.csv"
0,2,House,"[81.39085388183594, 547.2227783203125, 127.47996520996094, 624.7745361328125]",162.6355109,1750.592376,1269,37.95054184,,0,2,House,"[81.39085388183594, 547.2227783203125, 127.47996520996094, 624.7745361328125]",,,,,"12202 Stangle Rd, Town of Chippewa.png","12202 Stangle Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[627.9644775390625, 593.1392211914062, 671.8460693359375, 669.1017456054688]",151.5478873,1631.246305,1152,41.60124175,,1,2,House,"[627.9644775390625, 593.1392211914062, 671.8460693359375, 669.1017456054688]",,,,,"12291 Witte Rd, Town of Chippewa.png","12291 Witte Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[599.1346435546875, 577.6810302734375, 671.593505859375, 684.2193603515625]",233.5554258,2513.967248,1864,34.86948755,,0,2,House,"[599.1346435546875, 577.6810302734375, 671.593505859375, 684.2193603515625]",,,,,"13647 Mail Route Rd, Town of Chippewa.png","13647 Mail Route Rd, Town of Chippewa.png_objects.csv"
