epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8861,1.48044,2.63387,1.13148,8e-05,0.00584,4e-05,4e-05,1.48499,inf,1.43942,0.00028886,0.00028886,0.00028886
2,39.7548,1.18563,1.50492,1.02867,0,0,0,0,nan,nan,nan,0.000577171,0.000577171,0.000577171
3,53.4247,1.19458,1.61057,1.03803,0,0,0,0,nan,nan,nan,0.000853604,0.000853604,0.000853604
4,66.9961,1.26749,1.47048,1.0598,0,0,0,0,nan,nan,nan,0.00104501,0.00104501,0.00104501
5,80.5224,1.23639,1.34558,1.04419,0,0,0,0,nan,nan,nan,0.00102301,0.00102301,0.00102301
6,94.0372,1.25904,1.22059,1.06444,0.00842,0.00245,0.00442,0.00398,nan,nan,nan,0.00100101,0.00100101,0.00100101
7,108.276,1.1692,1.19445,1.03488,0.20028,0.07405,0.05939,0.03908,nan,nan,nan,0.000979013,0.000979013,0.000979013
8,122.706,1.19026,1.13107,1.0206,0.42481,0.32039,0.33414,0.21496,1.17833,1.72611,1.05787,0.000957015,0.000957015,0.000957015
9,137.025,1.12886,1.13253,1.00589,0.60131,0.29541,0.31497,0.20129,nan,nan,nan,0.000935018,0.000935018,0.000935018
10,150.704,1.09892,1.08104,0.99824,0.85828,0.23207,0.31491,0.20535,nan,nan,nan,0.00091302,0.00091302,0.00091302
11,164.66,1.09621,1.04494,1.00422,0.5232,0.47558,0.45393,0.28766,1.17523,nan,1.02002,0.000891022,0.000891022,0.000891022
12,179.001,1.03758,0.97463,0.96423,0.45092,0.53332,0.43876,0.27299,1.09034,0.97634,0.98678,0.000869024,0.000869024,0.000869024
13,192.66,1.01535,0.95979,0.97916,0.37799,0.4356,0.29851,0.20517,1.06217,2.9069,0.9806,0.000847026,0.000847026,0.000847026
14,206.405,1.03481,0.93826,0.9671,0.44231,0.50464,0.45466,0.31539,1.01365,1.13038,0.94677,0.000825029,0.000825029,0.000825029
15,221.001,1.013,1.00791,0.96704,0.49972,0.49234,0.46602,0.31805,0.93271,0.95226,0.9282,0.000803031,0.000803031,0.000803031
16,235.395,0.9762,0.88284,0.9394,0.55165,0.44107,0.45142,0.30165,1.01895,1.09614,0.96107,0.000781033,0.000781033,0.000781033
17,249.113,0.95978,0.8745,0.95645,0.50113,0.55005,0.52935,0.37636,0.93514,0.85265,0.93189,0.000759035,0.000759035,0.000759035
18,263.514,0.93051,0.90219,0.95597,0.53404,0.43334,0.447,0.29282,1.08896,0.96089,0.98256,0.000737037,0.000737037,0.000737037
19,278.018,0.94422,0.88931,0.94486,0.52387,0.52522,0.51524,0.35754,0.94395,0.85658,0.92956,0.00071504,0.00071504,0.00071504
