epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.204,3.90287,94.7956,1.18683,0,0,0,0,nan,nan,nan,0.00052,0.00052,0.00052
2,34.7092,4.35376,10.3964,1.16651,0,0,0,0,nan,nan,nan,0.00103901,0.00103901,0.00103901
3,48.9994,4.0588,3.55434,1.10899,0,0,0,0,nan,nan,nan,0.00153664,0.00153664,0.00153664
4,63.2509,3.86177,3.03561,1.03914,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,77.3411,3.73861,2.92242,1.02501,0,0,0,0,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,91.5049,3.57852,2.82678,0.99161,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
7,105.613,3.50066,2.60627,0.9752,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,119.73,3.32093,2.64254,1.00145,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,133.849,3.27644,2.51175,0.9595,0.15459,0.00503,0.00385,0.00077,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,148.101,3.27081,2.65516,0.95578,0.08553,0.1206,0.03802,0.01302,3.17408,3.40923,1.05346,0.0016436,0.0016436,0.0016436
11,162.351,3.19816,2.6439,0.93087,0.12678,0.08543,0.0586,0.01352,3.32372,3.34762,0.96357,0.001604,0.001604,0.001604
12,176.602,3.29032,2.62868,0.93599,0.23028,0.19544,0.09464,0.02294,3.30752,2.88972,0.9573,0.0015644,0.0015644,0.0015644
13,190.71,3.24619,2.62336,0.93578,0.29972,0.10553,0.06869,0.01819,2.03307,nan,0.62315,0.0015248,0.0015248,0.0015248
14,204.227,3.20952,2.674,0.92897,0.22628,0.15075,0.07476,0.02089,3.05301,2.26929,0.96604,0.0014852,0.0014852,0.0014852
15,217.793,3.20007,2.59635,0.96409,0.15551,0.06533,0.0501,0.01639,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,231.369,3.32624,2.59681,0.93138,0.16723,0.1206,0.04679,0.00923,nan,nan,nan,0.001406,0.001406,0.001406
17,244.954,3.14836,2.71728,0.93372,0.17337,0.11558,0.05923,0.01277,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,258.614,3.15415,2.43067,0.91801,0.18251,0.13065,0.06963,0.01357,3.36816,3.14258,0.97745,0.0013268,0.0013268,0.0013268
19,272.288,3.20931,2.61172,0.90185,0.20843,0.21106,0.09946,0.02674,2.96768,2.65377,0.92465,0.0012872,0.0012872,0.0012872
20,286.503,3.11318,2.47153,0.92699,0.28568,0.1809,0.10228,0.02353,3.14732,2.70669,0.97338,0.0012476,0.0012476,0.0012476
21,300.049,2.97445,2.29028,0.88518,0.21176,0.18593,0.08609,0.02611,2.81802,2.56663,0.93752,0.001208,0.001208,0.001208
