OC = Original Color,,,,,,,,,,,,,,,,,,,,,,
OG = Original Greyscale,,,,,,,,,,,,,,,,,,,,,,
EC = Enhanced Color,,,,,,,,,,,,,,,,,,,,,,
EG = Enhanced Greyscale,,,,,,,,,,,,,,,,,,,,,,
,,Class (All),,,,,,,,,,,,,,,,,mAP50,,,
Original Image size = 1280x1280,,Enhancment,Detector,Precision,Recall,mAP50,mAP50-95,,,,,,,,,,,,Class,First,Second,Third
Enhanced Image size = 2048x2048,,Original - RGB,YOLOv11 - OC,0.711,0.668,0.701,0.488,,,,,,,,,,,,House,MMDetection - OC (95.5%),YOLOv11 - EC (94.9%),YOLOv11 - OG (94.7%)
,,,Detectron2 - OC,-,-,0.76868,0.5497,,,,,,,,,,,,Propane,Detectron2 - EG (91.5%),YOLOv11 - EC (87.6%),YOLOv11 - EG (86%)
,,,MMDetection - OC,-,-,0.773,0.568,,,,,,,,,,,,Garage,MMDetection - OG (71.3%),MMDetection - OC (70.2%),YOLOv11 - EC (69.7%)
,,Original - Greyscale,YOLOv11 - OG,0.647,0.677,0.692,0.481,,,,,,,,,,,,Trailer,MMDetection - OG (93.6%),Detectron2 - EC (83.8%),MMDetection - OC (83.1%)
,,,Detectron2 - OG,-,-,0.76802,0.54829,,,,,,,,,,,,Other,Detectron2 - OG (67.5%),Detectron2 - OC (61.8%),MMDetection - OC (61.3%)
,,,MMDetection - OG,-,-,0.772,0.557,,,,,,,,,,,,,,,
,,Enhanced - RGB,YOLOv11 - EC,0.695,0.677,0.722,0.517,,,,,,,,,,,,,,,
,,,Detectron2 - EC,-,-,0.78059,0.57381,,,,,,,,,,,,mAP50 - 95,,,
,,Enhanced - Greyscale,YOLOv11 - EG,0.638,0.65,0.682,0.478,,,,,,,,,,,,Class,First,Second,Third
,,,Detectron2 - EG,-,-,0.75617,0.54487,,,,,,,,,,,,House,MMDetection - OC (81.9%),YOLOv11 - EC (80.8%),YOLOv11 - OG (80.2%)
,,,,,,,,,,,,,,,,,,,Propane,Detectron2 - EG (47.7%),Detectron2 - EC (45.6%),Detectron2 - OG (43.6%)
,,,,,,,,,,,,,,,,,,,Garage,MMDetection - OC (55.7%),MMDetection - OG (54.1%),Detectron2 - EC (53.3%)
,,,,,,,,,,,,,,,,,,,Trailer,MMDetection - OG (62.4%),Detectron2 - OC (60%),Detectron2 - EC (58.6%)
,,,,,,,,,,,,,,,,,,,Other,Detectron2 - OG (50.2%),Detectron2 - EC (49.2%),MMDetection - OC (46.8%)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Class (Houses),,,,,,,,,,,,,,,,,,,,
,,Enhancment,Detector,Precision,Recall,mAP50-95,mAP50,,,,,,,,,,,,,,,
,,Original - RGB,YOLOv11 - OC,0.878,0.886,0.782,0.914,,,,,,,,,,,,,,,
,,,Detectron2 - OC,0.815,0.9,0.79985,0.93916,,,,,,,,,,,,,,,
,,,MMDetection - OC,0.818,0.918,0.819,0.955,,,,,,,,,,,,,,,
,,Original - Greyscale,YOLOv11 - OG,0.861,0.896,0.802,0.947,,,,,,,,,,,,,,,
,,,Detectron2 - OG,0.851,0.87,0.77956,0.93776,,,,,,,,,,,,,,,
,,,MMDetection - OG,0.785,0.896,0.783,0.933,,,,,,,,,,,,,,,
,,Enhanced - RGB,YOLOv11 - EC,0.845,0.922,0.808,0.949,,,,,,,,,,,,,,,
