epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.025,1.03584,1.58153,1.94406,1.11128,0.70763,0.44918,0.49706,0.31206,0.70134,0.43605,0.48303,0.29505,1.0374,1.48159,1.33646,1.22905,0.000368797,0.000368797,0.000368797
2,296.774,1.05698,1.50297,1.32554,1.14445,0.43195,0.56563,0.48392,0.31804,0.42143,0.50037,0.45957,0.28511,1.03833,1.58524,1.09426,1.21264,0.000735471,0.000735471,0.000735471
3,439.554,1.08625,1.54239,1.29642,1.15603,0.56453,0.52573,0.55026,0.35333,0.55593,0.5077,0.53164,0.30257,1.03158,2.01922,1.28054,1.23193,0.00109848,0.00109848,0.00109848
4,582.246,1.0635,1.52366,1.22534,1.14929,0.46643,0.45263,0.48176,0.31649,0.47893,0.46063,0.49464,0.30258,1.00804,1.38902,1.20318,1.17743,0.0010945,0.0010945,0.0010945
5,724.566,1.01919,1.42536,1.12503,1.13396,0.50178,0.6403,0.55367,0.35605,0.49187,0.63241,0.54175,0.33751,1.0259,1.36865,0.95605,1.18789,0.001089,0.001089,0.001089
6,867.486,1.0058,1.38066,1.12551,1.12516,0.49626,0.55606,0.54948,0.36566,0.49046,0.55177,0.54069,0.33394,0.9319,1.33429,0.91711,1.15318,0.0010835,0.0010835,0.0010835
7,1010.72,0.98695,1.3499,1.09307,1.10954,0.60945,0.58443,0.59754,0.40202,0.53369,0.64707,0.58977,0.34988,0.93084,1.29666,0.89688,1.12124,0.001078,0.001078,0.001078
8,1153.45,0.95663,1.32779,1.04113,1.08421,0.52848,0.59734,0.55015,0.37043,0.50083,0.57737,0.51462,0.32588,0.92449,1.36374,0.89648,1.1465,0.0010725,0.0010725,0.0010725
9,1295.37,0.94028,1.30872,1.00624,1.07621,0.52436,0.56584,0.55365,0.38145,0.49587,0.53871,0.51541,0.32492,0.88396,1.28435,0.84895,1.11234,0.001067,0.001067,0.001067
10,1437.36,0.94283,1.30428,0.97718,1.07309,0.55468,0.69986,0.6262,0.42017,0.54667,0.6906,0.60878,0.39445,0.8979,1.21371,0.81082,1.12029,0.0010615,0.0010615,0.0010615
11,1580.05,0.91118,1.24023,0.92721,1.06898,0.63967,0.5887,0.63537,0.4287,0.50096,0.67119,0.5742,0.36123,0.87655,1.26069,0.77499,1.10385,0.00105601,0.00105601,0.00105601
12,1722.09,0.91107,1.24659,0.90501,1.06034,0.61944,0.64881,0.64135,0.45318,0.61427,0.64098,0.63071,0.41237,0.82327,1.20558,0.7552,1.07362,0.00105051,0.00105051,0.00105051
13,1864.72,0.89046,1.21424,0.90968,1.05007,0.6392,0.59458,0.66881,0.47995,0.63137,0.58863,0.65901,0.44945,0.84819,1.14666,0.78729,1.072,0.00104501,0.00104501,0.00104501
14,2006.88,0.85707,1.18234,0.87047,1.0326,0.70554,0.51899,0.64801,0.47051,0.702,0.51681,0.63963,0.41916,0.80701,1.21493,0.75301,1.04659,0.00103951,0.00103951,0.00103951
15,2146.82,0.88445,1.20609,0.86414,1.038,0.65415,0.6117,0.64564,0.46069,0.64984,0.60667,0.63191,0.40951,0.79844,1.18571,0.78056,1.05955,0.00103401,0.00103401,0.00103401
16,2288.53,0.8548,1.16798,0.84108,1.02622,0.53843,0.65525,0.62772,0.44232,0.52124,0.65334,0.60582,0.39352,0.816,1.16767,0.77699,1.04931,0.00102851,0.00102851,0.00102851
17,2430.96,0.84009,1.15425,0.8506,1.02244,0.62523,0.58141,0.6359,0.45867,0.61538,0.57653,0.61205,0.40816,0.80164,1.16316,0.78994,1.05072,0.00102301,0.00102301,0.00102301
18,2572.79,0.8374,1.13048,0.83785,1.01682,0.53255,0.69883,0.60503,0.42418,0.53406,0.63914,0.57256,0.37546,0.84998,1.17146,0.79484,1.09386,0.00101751,0.00101751,0.00101751
19,2715.64,0.82872,1.10645,0.82862,1.00754,0.57135,0.64488,0.64039,0.46083,0.56653,0.63808,0.62954,0.41046,0.81929,1.12637,0.73903,1.06582,0.00101201,0.00101201,0.00101201
20,2857.88,0.82945,1.10079,0.78311,1.01124,0.59556,0.6096,0.6438,0.45726,0.58386,0.59717,0.62023,0.40304,0.82254,1.14727,0.73983,1.06508,0.00100651,0.00100651,0.00100651
21,3000,0.81882,1.10078,0.80492,1.01078,0.61993,0.69834,0.66837,0.48975,0.62617,0.68465,0.65074,0.4236,0.80919,1.13268,0.73884,1.06527,0.00100101,0.00100101,0.00100101
22,3141.52,0.81171,1.09658,0.75505,1.00669,0.61783,0.72431,0.69629,0.50508,0.61735,0.71033,0.67823,0.44616,0.78714,1.14608,0.66542,1.04417,0.000995512,0.000995512,0.000995512
23,3284.3,0.81159,1.06737,0.7586,0.99973,0.55355,0.67073,0.61569,0.44017,0.53694,0.65239,0.59176,0.38563,0.7741,1.08662,0.73861,1.03192,0.000990012,0.000990012,0.000990012
24,3425.75,0.79752,1.07418,0.76283,0.98897,0.62883,0.68757,0.6777,0.48831,0.6177,0.67781,0.6632,0.43539,0.80033,1.14742,0.73996,1.04451,0.000984513,0.000984513,0.000984513
25,3568.44,0.80251,1.05925,0.76073,0.99776,0.60251,0.67763,0.65254,0.46588,0.58475,0.66186,0.62517,0.41522,0.77531,1.14017,0.69521,1.02888,0.000979013,0.000979013,0.000979013
26,3710.51,0.78748,1.06636,0.70974,0.98646,0.6361,0.6,0.64036,0.46578,0.62707,0.59341,0.62955,0.43003,0.79788,1.13605,0.74766,1.03744,0.000973514,0.000973514,0.000973514
27,3853.05,0.78079,1.04671,0.72486,0.98314,0.57604,0.68484,0.64966,0.47624,0.57268,0.68062,0.6359,0.41962,0.7693,1.09124,0.6609,1.03439,0.000968014,0.000968014,0.000968014
28,3995.34,0.78358,1.06278,0.73719,0.98326,0.61623,0.64298,0.65455,0.47594,0.60508,0.63203,0.63612,0.41532,0.77231,1.11521,0.67736,1.03566,0.000962515,0.000962515,0.000962515
29,4137.92,0.7759,1.036,0.69031,0.97883,0.63019,0.65133,0.64846,0.47186,0.62132,0.64199,0.63028,0.42033,0.75158,1.07721,0.66792,1.01273,0.000957015,0.000957015,0.000957015
30,4282.04,0.76577,1.03038,0.69756,0.97411,0.61037,0.60331,0.63793,0.47216,0.6018,0.5975,0.62191,0.42017,0.78757,1.08007,0.6776,1.04043,0.000951516,0.000951516,0.000951516
31,4423.97,0.75293,1.02812,0.70099,0.96443,0.52965,0.63485,0.62159,0.45512,0.51781,0.62122,0.60512,0.40386,0.76312,1.13767,0.70685,1.03356,0.000946016,0.000946016,0.000946016
32,4565.66,0.75082,1.00931,0.69032,0.97143,0.57815,0.62338,0.64414,0.46645,0.57028,0.61644,0.63212,0.42661,0.76145,1.09048,0.68207,1.01755,0.000940517,0.000940517,0.000940517
33,4707.43,0.74355,0.9805,0.66445,0.95848,0.60028,0.69139,0.65216,0.47274,0.58028,0.65223,0.63195,0.41022,0.76779,1.11207,0.65946,1.03937,0.000935018,0.000935018,0.000935018
34,4849.29,0.75159,1.02407,0.69249,0.96564,0.57357,0.6348,0.63827,0.46463,0.55888,0.61736,0.61846,0.418,0.76374,1.05657,0.68737,1.02167,0.000929518,0.000929518,0.000929518
35,4991.16,0.7508,1.01786,0.68644,0.96432,0.65269,0.66287,0.65852,0.48804,0.63864,0.65138,0.64091,0.43885,0.74577,1.08243,0.65107,1.00782,0.000924019,0.000924019,0.000924019
36,5133.04,0.73073,0.98117,0.64865,0.9499,0.62161,0.67237,0.64395,0.46939,0.60916,0.66048,0.62256,0.4118,0.75873,1.03601,0.68556,1.01301,0.000918519,0.000918519,0.000918519
37,5275.21,0.74499,1.00869,0.63823,0.95969,0.63219,0.64438,0.67484,0.50192,0.62874,0.61846,0.66063,0.45182,0.75945,1.02128,0.62309,1.02266,0.00091302,0.00091302,0.00091302
38,5417.7,0.74809,0.98539,0.67307,0.96691,0.53245,0.69232,0.63062,0.46056,0.54622,0.66119,0.60808,0.40305,0.75672,1.06485,0.77179,1.03017,0.00090752,0.00090752,0.00090752
39,5559.53,0.72596,0.95594,0.61364,0.95376,0.59227,0.65729,0.61367,0.44308,0.57958,0.64455,0.59324,0.38506,0.79635,1.1234,0.72496,1.04724,0.000902021,0.000902021,0.000902021
40,5701.16,0.73211,0.976,0.63795,0.94929,0.70857,0.67916,0.69027,0.5137,0.66824,0.62317,0.66901,0.46517,0.72708,1.02972,0.63561,1.00457,0.000896521,0.000896521,0.000896521
41,5843.83,0.71413,0.96635,0.61785,0.945,0.62355,0.70657,0.65277,0.47961,0.61893,0.70229,0.64641,0.43296,0.76071,1.05548,0.70354,1.01022,0.000891022,0.000891022,0.000891022
42,5984.55,0.72904,0.95763,0.63546,0.94822,0.59239,0.60024,0.64659,0.48064,0.58912,0.59739,0.64159,0.43262,0.74349,1.00991,0.67923,1.00426,0.000885523,0.000885523,0.000885523
43,6126.52,0.7254,0.96989,0.62472,0.94581,0.69656,0.67647,0.69931,0.53225,0.68763,0.66933,0.69427,0.47065,0.73357,1.00825,0.61111,0.99584,0.000880023,0.000880023,0.000880023
44,6268.95,0.72062,0.9669,0.59988,0.95343,0.64789,0.64,0.66351,0.48349,0.62173,0.60252,0.64717,0.43564,0.745,1.12576,0.662,1.00482,0.000874524,0.000874524,0.000874524
45,6410.77,0.70959,0.95004,0.60187,0.94211,0.57275,0.69123,0.65903,0.49046,0.56457,0.66041,0.64134,0.4275,0.74022,1.03144,0.65643,1.01091,0.000869024,0.000869024,0.000869024
46,6552.57,0.69067,0.9307,0.59526,0.93256,0.59755,0.67273,0.66243,0.49112,0.58947,0.66522,0.64804,0.43502,0.73399,1.0214,0.62266,0.99994,0.000863525,0.000863525,0.000863525
47,6694.46,0.71481,0.96512,0.61032,0.94089,0.57113,0.65648,0.63026,0.4652,0.60391,0.58512,0.61354,0.41142,0.74257,1.04788,0.6817,1.00662,0.000858025,0.000858025,0.000858025
48,6836.39,0.69646,0.9337,0.58449,0.93898,0.69919,0.60051,0.67642,0.51064,0.68842,0.59134,0.65685,0.4477,0.73105,1.03394,0.6455,1.01191,0.000852526,0.000852526,0.000852526
49,6978.24,0.68466,0.92288,0.57734,0.92876,0.66312,0.60304,0.6627,0.49179,0.65652,0.59102,0.64491,0.43538,0.75353,1.06934,0.67858,1.01219,0.000847026,0.000847026,0.000847026
50,7120.16,0.68868,0.91999,0.58149,0.92741,0.63379,0.63175,0.67179,0.50623,0.62354,0.62249,0.65264,0.44126,0.72779,1.05305,0.66976,1.00024,0.000841527,0.000841527,0.000841527
51,7261.88,0.69138,0.91534,0.5718,0.93551,0.59636,0.71505,0.65978,0.50008,0.59176,0.7107,0.65326,0.44511,0.73161,1.02989,0.66564,0.99354,0.000836027,0.000836027,0.000836027
52,7403.71,0.68222,0.90093,0.5649,0.93142,0.59996,0.73468,0.6625,0.50109,0.58973,0.72393,0.64893,0.44388,0.71575,1.01682,0.66052,0.99605,0.000830528,0.000830528,0.000830528
53,7545.46,0.6877,0.90004,0.56862,0.93073,0.62195,0.66012,0.65693,0.49532,0.61576,0.65503,0.64519,0.44032,0.73955,1.06834,0.66305,1.00005,0.000825029,0.000825029,0.000825029
54,7687.31,0.69721,0.89717,0.54951,0.9313,0.67551,0.60287,0.67027,0.50892,0.68413,0.58409,0.65597,0.4445,0.72614,1.04167,0.64599,0.99557,0.000819529,0.000819529,0.000819529
55,7829.24,0.68253,0.90273,0.54681,0.92754,0.61908,0.65771,0.64436,0.47721,0.63198,0.59266,0.62862,0.41796,0.73392,1.08841,0.67865,1.01289,0.00081403,0.00081403,0.00081403
56,7971.01,0.67952,0.89752,0.54476,0.92304,0.62399,0.56914,0.634,0.46874,0.61361,0.56512,0.62018,0.4095,0.73862,1.06453,0.65541,1.01089,0.00080853,0.00080853,0.00080853
57,8112.91,0.67212,0.88712,0.53876,0.9224,0.63186,0.59354,0.63639,0.47736,0.62937,0.61665,0.62457,0.42436,0.72003,1.0302,0.68313,0.99585,0.000803031,0.000803031,0.000803031
58,8254.67,0.67334,0.8942,0.53743,0.92617,0.56144,0.696,0.63704,0.4721,0.55688,0.69028,0.6344,0.44231,0.72381,1.00563,0.63889,0.99791,0.000797531,0.000797531,0.000797531
59,8396.5,0.66718,0.89478,0.53623,0.91992,0.62,0.67766,0.66917,0.49761,0.66946,0.6448,0.66467,0.45132,0.74089,1.09194,0.66989,1.01101,0.000792032,0.000792032,0.000792032
60,8539.48,0.6635,0.8812,0.53818,0.91916,0.59881,0.6719,0.65942,0.49861,0.59173,0.66499,0.64987,0.44899,0.72777,1.12662,0.69268,1.01047,0.000786532,0.000786532,0.000786532
