epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.563,1.09576,1.75518,3.72377,1.19271,0.54241,0.47634,0.45709,0.28942,0.54315,0.47691,0.45533,0.29332,1.13833,1.71909,1.93291,1.18273,0.000369169,0.000369169,0.000369169
2,530.791,1.19929,1.7728,2.01512,1.20839,0.77956,0.37885,0.4215,0.26624,0.7893,0.37833,0.42599,0.26108,1.20724,1.6194,2.64469,1.29201,0.000735842,0.000735842,0.000735842
3,789.598,1.31893,1.93082,2.01073,1.32218,0.47769,0.4797,0.31447,0.17829,0.47291,0.46855,0.3044,0.17791,1.47243,1.77899,1.78743,1.39,0.00109885,0.00109885,0.00109885
4,1048.37,1.35148,1.9209,2.02381,1.30663,0.5053,0.41247,0.3828,0.21458,0.5114,0.40545,0.38287,0.21418,1.51096,1.82992,1.50224,1.42378,0.0010945,0.0010945,0.0010945
5,1306.64,1.33863,1.96547,1.7904,1.30262,0.4408,0.38644,0.40777,0.26483,0.43536,0.38598,0.40544,0.2435,1.1643,1.93316,1.40283,1.21293,0.001089,0.001089,0.001089
6,1564.85,1.174,1.77893,1.50587,1.20153,0.60773,0.42532,0.4906,0.33558,0.60655,0.42533,0.49857,0.32144,1.02311,1.51435,1.37805,1.11734,0.0010835,0.0010835,0.0010835
7,1823.51,1.13142,1.69964,1.36728,1.18098,0.59011,0.44355,0.51348,0.34699,0.58228,0.43757,0.51912,0.32831,1.0362,1.44076,1.1177,1.12791,0.001078,0.001078,0.001078
8,2082.58,1.1145,1.63949,1.39177,1.16651,0.82218,0.39585,0.53826,0.37731,0.81384,0.40702,0.54478,0.35705,0.99933,1.51327,1.09148,1.10742,0.0010725,0.0010725,0.0010725
9,2341.41,1.07639,1.61233,1.29748,1.14873,0.65904,0.53873,0.5859,0.39911,0.65886,0.53852,0.60326,0.37454,0.98447,1.52692,1.01455,1.1036,0.001067,0.001067,0.001067
10,2600.1,1.09188,1.6678,1.32258,1.14249,0.69982,0.47204,0.55543,0.38092,0.70453,0.4781,0.55952,0.35962,1.03886,1.46536,1.06747,1.12504,0.0010615,0.0010615,0.0010615
11,2858.16,1.11088,1.59778,1.35659,1.14964,0.64774,0.55861,0.62372,0.4295,0.64948,0.56233,0.62768,0.40836,1.01823,1.39872,1.28181,1.10107,0.00105601,0.00105601,0.00105601
12,3116.75,1.06569,1.51333,1.19405,1.13159,0.65496,0.58486,0.59459,0.41773,0.65605,0.58903,0.59103,0.40572,0.97742,1.39245,0.99161,1.09606,0.00105051,0.00105051,0.00105051
13,3374.41,1.03652,1.50703,1.15758,1.10212,0.77607,0.54098,0.66434,0.45931,0.78147,0.52581,0.6682,0.4405,0.98398,1.38679,0.92574,1.08874,0.00104501,0.00104501,0.00104501
