epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.45,1.07405,1.77321,2.25244,1.16563,0.17701,0.32492,0.12517,0.08746,0.17977,0.30844,0.12546,0.08878,1.09132,1.77271,inf,1.3039,0.000368047,0.000368047,0.000368047
2,211.208,1.14875,1.72493,1.54284,1.24883,0.52931,0.35846,0.38682,0.24589,0.54481,0.35201,0.38954,0.24939,1.20672,1.8998,1.80519,1.38826,0.000734726,0.000734726,0.000734726
3,310.11,1.18104,1.70828,1.43605,1.25706,0.62422,0.45705,0.44836,0.26801,0.61843,0.44884,0.43829,0.25724,1.26977,2.03094,1.44443,1.45992,0.00109774,0.00109774,0.00109774
4,408.73,1.1401,1.74128,1.24535,1.23827,0.74695,0.36007,0.41508,0.2625,0.7407,0.3553,0.40704,0.23419,1.06894,1.70411,1.36956,1.2719,0.0010945,0.0010945,0.0010945
5,506.741,1.10599,1.65124,1.21199,1.23949,0.39325,0.47896,0.40857,0.26491,0.39543,0.49096,0.40467,0.24053,1.13331,1.83855,2.26313,1.31864,0.001089,0.001089,0.001089
6,604.666,1.07482,1.53573,1.15757,1.205,0.7155,0.47442,0.52471,0.33314,0.70754,0.46452,0.50099,0.30725,1.06592,1.61131,1.15676,1.25887,0.0010835,0.0010835,0.0010835
7,703.517,1.04368,1.44097,1.05205,1.17454,0.5175,0.53909,0.53113,0.35676,0.53954,0.5353,0.53057,0.33869,1.01227,1.53097,1.10512,1.23158,0.001078,0.001078,0.001078
8,802.061,1.03216,1.47322,1.0924,1.1689,0.52368,0.58546,0.57226,0.37756,0.52056,0.59621,0.57826,0.37115,1.04893,1.52759,1.14849,1.23379,0.0010725,0.0010725,0.0010725
9,900.302,0.97046,1.37858,1.02734,1.15152,0.66549,0.51359,0.54024,0.35609,0.66337,0.50474,0.5422,0.33027,1.00896,1.41738,1.14882,1.21819,0.001067,0.001067,0.001067
10,998.335,0.9776,1.36732,0.97913,1.12263,0.5496,0.5928,0.57966,0.38189,0.55301,0.57731,0.58317,0.35382,1.03231,1.43577,1.02843,1.23117,0.0010615,0.0010615,0.0010615
11,1096.15,0.98799,1.36518,0.95861,1.1308,0.58145,0.5447,0.59979,0.40657,0.55927,0.53338,0.58152,0.37211,0.97733,1.48254,1.01815,1.19008,0.00105601,0.00105601,0.00105601
12,1194.77,0.96387,1.3484,0.95583,1.14126,0.60967,0.56081,0.60022,0.416,0.62118,0.56449,0.59971,0.38554,0.93614,1.41219,0.97702,1.16565,0.00105051,0.00105051,0.00105051
13,1293.24,0.93048,1.32479,0.89735,1.12249,0.56334,0.55928,0.57893,0.39822,0.57275,0.56888,0.59185,0.38006,0.9441,1.45456,0.98232,1.17285,0.00104501,0.00104501,0.00104501
14,1390.9,0.92193,1.29028,0.91608,1.10752,0.59881,0.59667,0.62246,0.42363,0.56743,0.60218,0.62596,0.41114,0.96986,1.38099,0.91176,1.17298,0.00103951,0.00103951,0.00103951
15,1489.48,0.90266,1.27599,0.90535,1.08857,0.58853,0.59187,0.62379,0.42549,0.53998,0.62284,0.62607,0.40791,0.92708,1.30275,0.96537,1.1604,0.00103401,0.00103401,0.00103401
16,1587.11,0.89389,1.25188,0.87301,1.08606,0.49726,0.67583,0.61196,0.4208,0.50215,0.71124,0.63827,0.40745,0.94515,1.37604,0.92019,1.16192,0.00102851,0.00102851,0.00102851
17,1684.82,0.87867,1.22641,0.82515,1.07876,0.57244,0.57968,0.60335,0.41329,0.56802,0.58631,0.60684,0.40159,0.955,1.34015,0.9489,1.16879,0.00102301,0.00102301,0.00102301
18,1782.53,0.87739,1.20247,0.82045,1.07611,0.6104,0.59497,0.62991,0.43505,0.60651,0.59332,0.61959,0.39887,0.88936,1.34063,0.86262,1.13233,0.00101751,0.00101751,0.00101751
19,1880.12,0.88734,1.22211,0.81598,1.0665,0.57999,0.60991,0.63139,0.44213,0.57535,0.60559,0.6289,0.40746,0.89215,1.32373,0.90642,1.15334,0.00101201,0.00101201,0.00101201
20,1978.7,0.87422,1.1859,0.79991,1.08563,0.66271,0.60419,0.6385,0.44498,0.6341,0.6088,0.6301,0.40671,0.91056,1.33736,0.91881,1.15653,0.00100651,0.00100651,0.00100651
21,2077.07,0.85706,1.20046,0.82404,1.06753,0.60665,0.63812,0.63721,0.44947,0.63104,0.60077,0.63311,0.42306,0.89662,1.27554,0.8529,1.15225,0.00100101,0.00100101,0.00100101
22,2175.46,0.85497,1.17629,0.78899,1.06764,0.59976,0.59273,0.62263,0.43017,0.59608,0.61572,0.62808,0.39728,0.90549,1.30053,0.87809,1.1485,0.000995512,0.000995512,0.000995512
23,2273.29,0.83668,1.13051,0.74242,1.04445,0.56106,0.65002,0.63551,0.43995,0.54569,0.6615,0.62483,0.39657,0.86275,1.26812,0.87753,1.12517,0.000990012,0.000990012,0.000990012
24,2370.63,0.83311,1.13598,0.76972,1.04725,0.63448,0.65382,0.67182,0.47722,0.58965,0.69634,0.67754,0.43961,0.84965,1.3262,0.85762,1.11681,0.000984513,0.000984513,0.000984513
