epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.124,1.15498,1.89608,3.70855,1.24762,0.56264,0.45405,0.32082,0.1867,0.56571,0.45982,0.32262,0.19753,1.21534,1.80442,6.63743,1.28279,0.000369169,0.000369169,0.000369169
2,527.208,1.28298,1.96934,2.32229,1.33836,0.76923,0.27702,0.38219,0.23542,0.76923,0.27702,0.38176,0.23657,1.24952,1.9512,1.65235,1.32399,0.000735842,0.000735842,0.000735842
3,784.623,1.34901,1.99629,1.95177,1.37947,0.55902,0.37865,0.35799,0.22106,0.56112,0.37516,0.34837,0.19297,1.23988,2.14065,1.7637,1.30784,0.00109885,0.00109885,0.00109885
4,1041.26,1.26917,1.94472,1.75535,1.29557,0.5833,0.4587,0.44041,0.28759,0.58594,0.45753,0.44002,0.27941,1.20941,1.77913,1.65728,1.25663,0.0010945,0.0010945,0.0010945
5,1298.23,1.23767,1.92746,1.75371,1.27856,0.44529,0.42276,0.38141,0.24661,0.44429,0.4239,0.38389,0.2332,1.19867,1.75756,1.85806,1.26912,0.001089,0.001089,0.001089
6,1555.26,1.18264,1.71926,1.49662,1.25695,0.719,0.39303,0.50143,0.34401,0.7186,0.39333,0.50321,0.31248,1.03796,1.54009,1.15722,1.14829,0.0010835,0.0010835,0.0010835
7,1813.7,1.13661,1.75925,1.454,1.22031,0.55869,0.42321,0.44141,0.28824,0.56566,0.42013,0.44138,0.27481,1.07578,1.62769,1.27389,1.17083,0.001078,0.001078,0.001078
8,2070.46,1.14295,1.67396,1.39258,1.21076,0.67115,0.49121,0.52576,0.35396,0.67162,0.49187,0.53462,0.34309,1.09861,1.47605,1.25029,1.17485,0.0010725,0.0010725,0.0010725
9,2328.24,1.09115,1.61752,1.3008,1.19355,0.74206,0.47849,0.55718,0.38852,0.74195,0.47864,0.55746,0.36235,1.04883,1.5026,1.13451,1.14058,0.001067,0.001067,0.001067
10,2585.65,1.13967,1.66508,1.30338,1.21768,0.6717,0.50921,0.56736,0.38078,0.68416,0.51605,0.57859,0.3841,1.07238,1.45048,1.43632,1.13476,0.0010615,0.0010615,0.0010615
11,2843.97,1.08263,1.51251,1.23271,1.16456,0.72518,0.5193,0.5878,0.40644,0.71766,0.51334,0.5834,0.38108,0.97975,1.40823,0.97028,1.1079,0.00105601,0.00105601,0.00105601
12,3101.33,1.04418,1.5465,1.29026,1.16863,0.51377,0.58129,0.58343,0.3873,0.49426,0.58568,0.57996,0.37589,1.00705,1.33317,1.02249,1.10543,0.00105051,0.00105051,0.00105051
13,3357.62,1.02352,1.51834,1.15966,1.14445,0.70005,0.56793,0.60201,0.40502,0.69883,0.5647,0.59248,0.38413,0.96295,1.35355,1.06167,1.0814,0.00104501,0.00104501,0.00104501
14,3615.11,1.03651,1.53496,1.19595,1.14812,0.77598,0.50698,0.59454,0.41261,0.77741,0.50837,0.60263,0.40313,0.94217,1.3547,0.97702,1.08549,0.00103951,0.00103951,0.00103951
